Titolo,Spotify_URL,Description,Id
Francesco Sordi - La descrizione condiziona la realtà - Pillole di Office of Cards,https://open.spotify.com/episode/0pRPcQ0b1zgCujI8dcy416,"Questa pillola è stata presa dall'episodio 57 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",57
Le 7 regole per avere successo - Parliamo di proattività - Pillole di Office of Cards,https://open.spotify.com/episode/6WYEuIrxzafvi9BkkPNiKo,"Questa pillola è stata presa dall'episodio 16 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",16
Marco Ottonello - Il confronto uccide la felicità - Pillole di Office of Cards,https://open.spotify.com/episode/3LArP8g5DYLGy8Xns5NoE8,"Questa pillola è stata presa dall'episodio 83 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",83
Il potere delle abitudini - Il circolo dell'abitudine - Pillole di Office of Cards,https://open.spotify.com/episode/5UwrlPCq60WVQO7wtzAiCV,"Questa pillola è stata presa dall'episodio 1 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",1
Le 7 regole per avere successo - Perception is reality - Pillole di Office of Cards,https://open.spotify.com/episode/2CgVxXAIOgrVS5kP2zmhN3,"Questa pillola è stata presa dall'episodio 16 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",16
Marco Ottonello - Chiedere per avere opportunità - Pillole di Office of Cards,https://open.spotify.com/episode/3VtRIEJAW4t0i9R5NplKQf,"Questa pillola è stata presa dall'episodio 83 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",83
Le 7 regole per avere successo - I veri cambiamenti richiedono una riflessione - Pillole di Office of Cards,https://open.spotify.com/episode/7vtFhYOufaldbQTHyJ0LRU,"Questa pillola è stata presa dall'episodio 16 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",16
Il potere delle abitudini - La nostra vita è il frutto delle nostre abitudini - Pillole di Office of Cards,https://open.spotify.com/episode/06iR0BGw1RwkVkQTAQldD7,"Questa pillola è stata presa dall'episodio 1 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",1
Marco Ottonello - Tenere sempre gli occhi aperti - Pillole di Office of Cards,https://open.spotify.com/episode/3ZaB5TLwiKTiQEg8SLRNud,"Questa pillola è stata presa dall'episodio 83 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",83
Il potere delle abitudini - Il cambiamento si può fare - Pillole di Office of Cards,https://open.spotify.com/episode/6ubSXUtC32BDsmCr9ArWB2,"Questa pillola è stata presa dall'episodio 1 del Podcast di Office of Cards. Se vuoi ascoltare l'episodio per intero cercalo nel tuo player di podcast digitando ""Office of Cards di Davide Cervellin"". Trovi show notes e link discussi su https://officeofcards.com/podcasts Scopri la Newsletter di Office of Cards!  Segui il canale YouTube di Office of Cards!  Learn more about your ad choices. Visit megaphone.fm/adchoices",1
